DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201400566;02/21/2020 12:00:00 AM;02/21/2020 12:00:00 AM;130;14;Pacific    ;1486;1;433;DRIVING WITHOUT OWNER CONSENT (DWOC)                    ;1402                                   ;0;X;X;101;STREET                                      ;;;AO;Adult Other ;433
201411508;05/27/2020 12:00:00 AM;05/27/2020 12:00:00 AM;200;14;Pacific    ;1453;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;1606 0344 1300 0321                    ;56;M;W;104;DRIVEWAY                                    ;;;IC;Invest Cont ;420
201413342;07/06/2020 12:00:00 AM;07/06/2020 12:00:00 AM;2245;14;Pacific    ;1494;2;888;TRESPASSING                                             ;2004                                   ;0;X;X;212;TRANSPORTATION FACILITY (AIRPORT)           ;;;IC;Invest Cont ;888
201421998;12/22/2020 12:00:00 AM;09/04/2020 12:00:00 AM;800;14;Pacific    ;1488;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;;0;;;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;668
201417263;09/15/2020 12:00:00 AM;09/15/2020 12:00:00 AM;1554;14;Pacific    ;1431;2;625;OTHER ASSAULT                                           ;0447 0356 2004                         ;17;M;H;116;OTHER/OUTSIDE                               ;212;BOTTLE                                        ;IC;Invest Cont ;625
201420008;10/20/2020 12:00:00 AM;10/20/2020 12:00:00 AM;1243;14;Pacific    ;1407;2;354;THEFT OF IDENTITY                                       ;0377                                   ;37;M;W;710;OTHER PREMISE                               ;;;IC;Invest Cont ;354
201418133;10/02/2020 12:00:00 AM;10/02/2020 12:00:00 AM;1130;14;Pacific    ;1488;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329 1300                              ;36;F;W;503;HOTEL                                       ;207;OTHER KNIFE                                   ;AO;Adult Other ;740
201409584;04/13/2020 12:00:00 AM;04/13/2020 12:00:00 AM;1833;14;Pacific    ;1401;1;310;BURGLARY                                                ;0344 1608 1273                         ;41;M;W;501;SINGLE FAMILY DWELLING                      ;;;AA;Adult Arrest;310
201413599;07/10/2020 12:00:00 AM;07/10/2020 12:00:00 AM;1945;14;Pacific    ;1434;1;310;BURGLARY                                                ;0344 0321 1609                         ;47;F;A;501;SINGLE FAMILY DWELLING                      ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;IC;Invest Cont ;310
201412748;06/13/2020 12:00:00 AM;06/12/2020 12:00:00 AM;2300;14;Pacific    ;1467;1;480;BIKE - STOLEN                                           ;0344                                   ;39;F;W;146;PATIO*                                      ;;;IC;Invest Cont ;480
201410024;04/24/2020 12:00:00 AM;04/20/2020 12:00:00 AM;1133;14;Pacific    ;1414;2;662;BUNCO, GRAND THEFT                                      ;0701 1210                              ;0;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;662
