DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201907874;03/20/2020 12:00:00 AM;03/19/2020 12:00:00 AM;2000;19;Mission    ;1904;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344 1606                              ;24;F;H;101;STREET                                      ;;;IC;Invest Cont ;420
201909181;04/27/2020 12:00:00 AM;04/27/2020 12:00:00 AM;1430;19;Mission    ;1962;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;1202 0329 0416 1822                    ;63;M;H;108;PARKING LOT                                 ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;230
201915117;09/30/2020 12:00:00 AM;09/19/2020 12:00:00 AM;300;19;Mission    ;1977;1;510;VEHICLE - STOLEN                                        ;;0;;;104;DRIVEWAY                                    ;;;IC;Invest Cont ;510
201915361;10/06/2020 12:00:00 AM;10/05/2020 12:00:00 AM;1630;19;Mission    ;1975;1;310;BURGLARY                                                ;1606 1202 0213                         ;76;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;310
201917375;11/25/2020 12:00:00 AM;11/24/2020 12:00:00 AM;1625;19;Mission    ;1918;1;330;BURGLARY FROM VEHICLE                                   ;0344                                   ;59;F;H;101;STREET                                      ;;;IC;Invest Cont ;330
201914621;09/17/2020 12:00:00 AM;09/17/2020 12:00:00 AM;730;19;Mission    ;1972;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;2000 1309 1814 1310 0913 0906 0416     ;31;F;H;101;STREET                                      ;307;VEHICLE                                       ;AA;Adult Arrest;236
201907022;03/01/2020 12:00:00 AM;03/01/2020 12:00:00 AM;1200;19;Mission    ;1917;2;900;VIOLATION OF COURT ORDER                                ;2038 2004                              ;45;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;900
201914499;09/14/2020 12:00:00 AM;05/10/2020 12:00:00 AM;1;19;Mission    ;1967;2;649;DOCUMENT FORGERY / STOLEN FELONY                        ;0923                                   ;83;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;649
201913597;08/22/2020 12:00:00 AM;08/21/2020 12:00:00 AM;2230;19;Mission    ;1958;1;310;BURGLARY                                                ;1202 0344 0314                         ;61;F;H;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;310
201907229;03/06/2020 12:00:00 AM;03/05/2020 12:00:00 AM;2000;19;Mission    ;1988;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;109;PARK/PLAYGROUND                             ;;;IC;Invest Cont ;420
201912343;07/20/2020 12:00:00 AM;07/17/2020 12:00:00 AM;1200;19;Mission    ;1985;2;354;THEFT OF IDENTITY                                       ;0929 1822                              ;28;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
201912492;07/24/2020 12:00:00 AM;07/24/2020 12:00:00 AM;515;19;Mission    ;1913;1;330;BURGLARY FROM VEHICLE                                   ;1307 0344 1609                         ;31;M;H;121;YARD (RESIDENTIAL/BUSINESS)                 ;;;IC;Invest Cont ;330
201906618;02/23/2020 12:00:00 AM;02/23/2020 12:00:00 AM;1220;19;Mission    ;1982;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000 1814 0416                         ;37;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;626
201913290;08/14/2020 12:00:00 AM;08/14/2020 12:00:00 AM;2340;19;Mission    ;1983;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000 0416 1813                         ;39;F;H;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626
201914382;09/10/2020 12:00:00 AM;09/10/2020 12:00:00 AM;1920;19;Mission    ;1964;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;1813 2000 0444                         ;27;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626
201914348;09/09/2020 12:00:00 AM;09/09/2020 12:00:00 AM;700;19;Mission    ;1971;2;625;OTHER ASSAULT                                           ;0329                                   ;0;X;X;252;COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S,;;;IC;Invest Cont ;625
201916945;11/15/2020 12:00:00 AM;11/14/2020 12:00:00 AM;2100;19;Mission    ;1963;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201910522;06/03/2020 12:00:00 AM;06/02/2020 12:00:00 AM;1730;19;Mission    ;1966;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
