DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
212110349;06/20/2021 12:00:00 AM;06/20/2021 12:00:00 AM;1;21;Topanga    
212105672;02/18/2021 12:00:00 AM;02/17/2021 12:00:00 AM;1800;21;Topanga    
212111665;07/21/2021 12:00:00 AM;07/06/2021 12:00:00 AM;1200;21;Topanga    
212106294;03/07/2021 12:00:00 AM;03/07/2021 12:00:00 AM;1630;21;Topanga    
212108133;04/25/2021 12:00:00 AM;04/24/2021 12:00:00 AM;2312;21;Topanga    
212113634;09/08/2021 12:00:00 AM;08/03/2021 12:00:00 AM;1;21;Topanga    
212104577;01/18/2021 12:00:00 AM;01/18/2021 12:00:00 AM;615;21;Topanga    
212117621;12/17/2021 12:00:00 AM;12/16/2021 12:00:00 AM;1900;21;Topanga    
212111484;07/16/2021 12:00:00 AM;07/13/2021 12:00:00 AM;1100;21;Topanga    
212107953;04/20/2021 12:00:00 AM;04/16/2021 12:00:00 AM;1700;21;Topanga    
212112858;08/21/2021 12:00:00 AM;08/20/2021 12:00:00 AM;2200;21;Topanga    
232112982;08/15/2023 12:00:00 AM;01/09/2021 12:00:00 AM;1850;21;Topanga    
212112913;08/22/2021 12:00:00 AM;08/20/2021 12:00:00 AM;1400;21;Topanga    
212115715;10/27/2021 12:00:00 AM;10/27/2021 12:00:00 AM;1430;21;Topanga    
212115686;10/26/2021 12:00:00 AM;10/26/2021 12:00:00 AM;1235;21;Topanga    
212118096;12/29/2021 12:00:00 AM;12/29/2021 12:00:00 AM;1715;21;Topanga    
212105143;02/03/2021 12:00:00 AM;02/03/2021 12:00:00 AM;800;21;Topanga    
212110345;06/18/2021 12:00:00 AM;06/18/2021 12:00:00 AM;1435;21;Topanga    
212113446;09/03/2021 12:00:00 AM;09/03/2021 12:00:00 AM;1930;21;Topanga    
212112227;08/05/2021 12:00:00 AM;08/04/2021 12:00:00 AM;900;21;Topanga    
212105148;02/02/2021 12:00:00 AM;01/31/2021 12:00:00 AM;1000;21;Topanga    
212116279;11/09/2021 12:00:00 AM;11/09/2021 12:00:00 AM;400;21;Topanga    
212105778;02/21/2021 12:00:00 AM;02/21/2021 12:00:00 AM;300;21;Topanga    
212108342;04/30/2021 12:00:00 AM;04/27/2021 12:00:00 AM;1805;21;Topanga    
212109470;05/29/2021 12:00:00 AM;05/29/2021 12:00:00 AM;1540;21;Topanga    
212112893;08/21/2021 12:00:00 AM;08/21/2021 12:00:00 AM;1430;21;Topanga    
212113411;09/02/2021 12:00:00 AM;08/04/2021 12:00:00 AM;1000;21;Topanga    
212105722;02/06/2021 12:00:00 AM;01/23/2021 12:00:00 AM;2300;21;Topanga    
222109373;05/19/2022 12:00:00 AM;12/30/2021 12:00:00 AM;1200;21;Topanga    
212111828;07/25/2021 12:00:00 AM;07/17/2021 12:00:00 AM;1230;21;Topanga    
212116554;11/16/2021 12:00:00 AM;11/16/2021 12:00:00 AM;2215;21;Topanga    
212115568;10/22/2021 12:00:00 AM;10/22/2021 12:00:00 AM;1200;21;Topanga    
212113022;08/24/2021 12:00:00 AM;07/30/2021 12:00:00 AM;900;21;Topanga    
