DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
201613338;09/28/2020 12:00:00 AM;09/28/2020 12:00:00 AM;1915;16;Foothill   ;1615
211607273;04/26/2021 12:00:00 AM;10/01/2020 12:00:00 AM;1;16;Foothill   ;1669
201606914;03/09/2020 12:00:00 AM;03/09/2020 12:00:00 AM;2300;16;Foothill   ;1601
201615745;12/15/2020 12:00:00 AM;12/15/2020 12:00:00 AM;1750;16;Foothill   ;1693
201613551;10/06/2020 12:00:00 AM;10/05/2020 12:00:00 AM;900;16;Foothill   ;1637
201614556;11/08/2020 12:00:00 AM;11/07/2020 12:00:00 AM;300;16;Foothill   ;1615
201600839;11/08/2020 12:00:00 AM;11/07/2020 12:00:00 AM;2000;16;Foothill   ;1606
201608482;04/25/2020 12:00:00 AM;04/25/2020 12:00:00 AM;1920;16;Foothill   ;1655
201610159;06/18/2020 12:00:00 AM;06/18/2020 12:00:00 AM;955;16;Foothill   ;1642
201608992;05/12/2020 12:00:00 AM;05/11/2020 12:00:00 AM;2200;16;Foothill   ;1633
201612850;09/14/2020 12:00:00 AM;09/13/2020 12:00:00 AM;1515;16;Foothill   ;1612
201604222;01/06/2020 12:00:00 AM;01/06/2020 12:00:00 AM;2100;16;Foothill   ;1637
201614717;11/13/2020 12:00:00 AM;11/12/2020 12:00:00 AM;2230;16;Foothill   ;1685
201608676;05/02/2020 12:00:00 AM;04/29/2020 12:00:00 AM;1600;16;Foothill   ;1622
201611483;07/28/2020 12:00:00 AM;07/28/2020 12:00:00 AM;2315;16;Foothill   ;1684
201611781;08/07/2020 12:00:00 AM;07/01/2020 12:00:00 AM;1200;16;Foothill   ;1684
201607458;03/26/2020 12:00:00 AM;03/26/2020 12:00:00 AM;338;16;Foothill   ;1672
201610269;06/21/2020 12:00:00 AM;06/21/2020 12:00:00 AM;1500;16;Foothill   ;1653
201606717;03/04/2020 12:00:00 AM;03/04/2020 12:00:00 AM;1200;16;Foothill   ;1689
211607728;05/12/2021 12:00:00 AM;11/28/2020 12:00:00 AM;905;16;Foothill   ;1684
201611950;08/13/2020 12:00:00 AM;08/13/2020 12:00:00 AM;1730;16;Foothill   ;1693
201609505;05/28/2020 12:00:00 AM;05/28/2020 12:00:00 AM;230;16;Foothill   ;1654
201607817;04/07/2020 12:00:00 AM;04/06/2020 12:00:00 AM;2000;16;Foothill   ;1663
201606969;03/11/2020 12:00:00 AM;03/09/2020 12:00:00 AM;2200;16;Foothill   ;1675
201605192;01/29/2020 12:00:00 AM;01/29/2020 12:00:00 AM;1425;16;Foothill   ;1656
201605290;01/31/2020 12:00:00 AM;01/27/2020 12:00:00 AM;1045;16;Foothill   ;1677
201615657;12/15/2020 12:00:00 AM;12/13/2020 12:00:00 AM;200;16;Foothill   ;1645
201612347;08/28/2020 12:00:00 AM;03/09/2020 12:00:00 AM;1200;16;Foothill   ;1675
201607015;03/12/2020 12:00:00 AM;03/12/2020 12:00:00 AM;755;16;Foothill   ;1681
201610629;07/01/2020 12:00:00 AM;06/30/2020 12:00:00 AM;2355;16;Foothill   ;1685
201614217;10/26/2020 12:00:00 AM;10/22/2020 12:00:00 AM;430;16;Foothill   ;1634
201607574;03/30/2020 12:00:00 AM;03/29/2020 12:00:00 AM;1655;16;Foothill   ;1621
201612549;09/03/2020 12:00:00 AM;09/03/2020 12:00:00 AM;315;16;Foothill   ;1621
201611270;07/21/2020 12:00:00 AM;07/21/2020 12:00:00 AM;5;16;Foothill   ;1663
201600529;01/21/2020 12:00:00 AM;01/20/2020 12:00:00 AM;130;16;Foothill   ;1608
201607995;04/11/2020 12:00:00 AM;04/11/2020 12:00:00 AM;2000;16;Foothill   ;1637
201612312;08/26/2020 12:00:00 AM;08/26/2020 12:00:00 AM;1045;16;Foothill   ;1645
201612683;09/07/2020 12:00:00 AM;09/07/2020 12:00:00 AM;515;16;Foothill   ;1603
201614074;10/21/2020 12:00:00 AM;10/21/2020 12:00:00 AM;700;16;Foothill   ;1687
201613050;09/19/2020 12:00:00 AM;08/26/2020 12:00:00 AM;1300;16;Foothill   ;1654
201615204;11/30/2020 12:00:00 AM;11/29/2020 12:00:00 AM;2330;16;Foothill   ;1612
201604361;01/09/2020 12:00:00 AM;01/09/2020 12:00:00 AM;1545;16;Foothill   ;1602
201611127;07/16/2020 12:00:00 AM;07/16/2020 12:00:00 AM;740;16;Foothill   ;1633
201607977;04/10/2020 12:00:00 AM;04/04/2020 12:00:00 AM;1430;16;Foothill   ;1663
201606402;02/28/2020 12:00:00 AM;02/18/2020 12:00:00 AM;555;16;Foothill   ;1682
211604541;01/19/2021 12:00:00 AM;12/23/2020 12:00:00 AM;1200;16;Foothill   ;1667
