DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
210411638;08/10/2021 12:00:00 AM;08/09/2021 12:00:00 AM;700;4;Hollenbeck ;497
210410725;07/14/2021 12:00:00 AM;07/14/2021 12:00:00 AM;1825;4;Hollenbeck ;462
210412983;09/19/2021 12:00:00 AM;09/18/2021 12:00:00 AM;1915;4;Hollenbeck ;438
210405769;02/18/2021 12:00:00 AM;02/17/2021 12:00:00 AM;1400;4;Hollenbeck ;468
210411605;08/09/2021 12:00:00 AM;08/09/2021 12:00:00 AM;1040;4;Hollenbeck ;467
210411247;07/31/2021 12:00:00 AM;07/30/2021 12:00:00 AM;2210;4;Hollenbeck ;424
210409283;06/03/2021 12:00:00 AM;06/02/2021 12:00:00 AM;1902;4;Hollenbeck ;455
210415281;11/24/2021 12:00:00 AM;11/24/2021 12:00:00 AM;1800;4;Hollenbeck ;478
210410487;07/09/2021 12:00:00 AM;07/09/2021 12:00:00 AM;115;4;Hollenbeck ;469
210407715;04/17/2021 12:00:00 AM;01/30/2021 12:00:00 AM;545;4;Hollenbeck ;477
210413701;10/08/2021 12:00:00 AM;10/08/2021 12:00:00 AM;1530;4;Hollenbeck ;459
210412784;09/12/2021 12:00:00 AM;09/12/2021 12:00:00 AM;1850;4;Hollenbeck ;469
210411192;07/29/2021 12:00:00 AM;07/29/2021 12:00:00 AM;1139;4;Hollenbeck ;448
210408669;05/15/2021 12:00:00 AM;05/15/2021 12:00:00 AM;2045;4;Hollenbeck ;464
210407403;04/07/2021 12:00:00 AM;04/07/2021 12:00:00 AM;10;4;Hollenbeck ;477
210416139;12/22/2021 12:00:00 AM;12/22/2021 12:00:00 AM;710;4;Hollenbeck ;412
210412588;09/07/2021 12:00:00 AM;09/06/2021 12:00:00 AM;1800;4;Hollenbeck ;489
210408525;05/11/2021 12:00:00 AM;05/11/2021 12:00:00 AM;1015;4;Hollenbeck ;427
210415632;12/07/2021 12:00:00 AM;12/06/2021 12:00:00 AM;700;4;Hollenbeck ;442
210410743;07/15/2021 12:00:00 AM;07/14/2021 12:00:00 AM;700;4;Hollenbeck ;423
210415586;12/05/2021 12:00:00 AM;12/05/2021 12:00:00 AM;1420;4;Hollenbeck ;469
210408498;05/10/2021 12:00:00 AM;05/08/2021 12:00:00 AM;1700;4;Hollenbeck ;473
210410858;07/19/2021 12:00:00 AM;07/19/2021 12:00:00 AM;1600;4;Hollenbeck ;478
210408747;05/17/2021 12:00:00 AM;05/17/2021 12:00:00 AM;210;4;Hollenbeck ;442
210408833;05/20/2021 12:00:00 AM;05/20/2021 12:00:00 AM;305;4;Hollenbeck ;422
210411344;08/02/2021 12:00:00 AM;07/01/2021 12:00:00 AM;1;4;Hollenbeck ;426
210404582;01/16/2021 12:00:00 AM;01/16/2021 12:00:00 AM;930;4;Hollenbeck ;448
210412085;08/23/2021 12:00:00 AM;08/20/2021 12:00:00 AM;1800;4;Hollenbeck ;473
210405344;02/06/2021 12:00:00 AM;02/06/2021 12:00:00 AM;405;4;Hollenbeck ;463
210414576;11/04/2021 12:00:00 AM;11/04/2021 12:00:00 AM;2000;4;Hollenbeck ;455
