DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200917586;11/23/2020 12:00:00 AM;11/22/2020 12:00:00 AM;2030;9;Van Nuys   ;984;2;624;BATTERY - SIMPLE ASSAULT                                ;0416                                   ;30;F;H;203;OTHER BUSINESS                              ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
200917736;11/27/2020 12:00:00 AM;09/11/2020 12:00:00 AM;700;9;Van Nuys   ;935;1;310;BURGLARY                                                ;0344                                   ;29;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;310
200904221;01/06/2020 12:00:00 AM;01/06/2020 12:00:00 AM;550;9;Van Nuys   ;941;1;210;ROBBERY                                                 ;0363 1822 1281 1414 0344 0334 0421 1402;36;M;W;102;SIDEWALK                                    ;109;SEMI-AUTOMATIC PISTOL                         ;IC;Invest Cont ;210
200905770;02/09/2020 12:00:00 AM;02/08/2020 12:00:00 AM;2300;9;Van Nuys   ;909;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;420
200906823;03/02/2020 12:00:00 AM;03/02/2020 12:00:00 AM;1330;9;Van Nuys   ;941;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;2005 1822 1420 0416 2004               ;30;F;O;403;DRUG STORE                                  ;212;BOTTLE                                        ;AA;Adult Arrest;230
200918635;12/20/2020 12:00:00 AM;12/20/2020 12:00:00 AM;500;9;Van Nuys   ;989;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;1300 0329                              ;42;M;W;501;SINGLE FAMILY DWELLING                      ;;;AA;Adult Arrest;740
200911600;06/25/2020 12:00:00 AM;06/25/2020 12:00:00 AM;1930;9;Van Nuys   ;964;1;310;BURGLARY                                                ;1501 0314 0358 1608 1606               ;71;M;A;501;SINGLE FAMILY DWELLING                      ;;;AA;Adult Arrest;310
200910968;06/12/2020 12:00:00 AM;05/21/2020 12:00:00 AM;1345;9;Van Nuys   ;964;2;354;THEFT OF IDENTITY                                       ;0377 0930 1822 1202                    ;61;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
200918744;12/22/2020 12:00:00 AM;12/22/2020 12:00:00 AM;1840;9;Van Nuys   ;994;1;210;ROBBERY                                                 ;0352 0416 0446 0444 1402 1414 0913     ;57;F;W;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;210
200914640;09/12/2020 12:00:00 AM;09/08/2020 12:00:00 AM;1113;9;Van Nuys   ;914;1;320;BURGLARY, ATTEMPTED                                     ;0329 1602                              ;64;F;O;120;STORAGE SHED                                ;;;AO;Adult Other ;320
